[ELE53126, ELE37048]=0.23690773067331672
[SNA55617, SNA24799]=0.2361111111111111
[GRO59710, DAI42493]=0.23576423576423577
[DAI62779, SNA69641]=0.2353923205342237
[SNA45677, DAI48891]=0.23515151515151514
[DAI62779, DAI22177]=0.2347879532882606
[FRO40251, DAI42493]=0.23476523476523475
[DAI62779, DAI33336]=0.2328767123287671
[FRO80039, GRO50832]=0.23026315789473684
[FRO99783, FRO79022]=0.22902796271637815
[DAI62779, GRO18367]=0.2289156626506024
[ELE20847, GRO73461]=0.22860635696821516
[ELE17451, SNA38068]=0.2281134401972873
[DAI62779, GRO82670]=0.22657952069716775
[DAI62779, SNA59061]=0.22508038585209003
[SNA96271, ELE20847]=0.22493887530562348
[DAI62779, DAI42083]=0.22413793103448276
[ELE49801, DAI62779]=0.22322775263951736
[GRO68067, GRO73461]=0.2227342549923195
[DAI62779, GRO21487]=0.2226950354609929
[DAI62779, DAI95741]=0.22209567198177677
[DAI62779, ELE12845]=0.2188612099644128
[GRO36567, DAI62779]=0.21875
[DAI85309, FRO19221]=0.21733505821474774
[GRO59710, DAI42083]=0.2164750957854406
[GRO21487, FRO53271]=0.21619718309859154
[FRO92469, FRO40251]=0.21515073434681783
[ELE17451, GRO81087]=0.21475409836065573
[SNA59903, DAI42083]=0.21455938697318008
[DAI35347, DAI62779]=0.21320754716981133
[FRO40251, FRO89565]=0.2131782945736434
[FRO53271, GRO32086]=0.21144859813084113
[DAI22896, SNA72163]=0.20825688073394497
[SNA88283, DAI62779]=0.20578034682080926
[DAI62779, FRO35904]=0.20264623955431754
[DAI48891, ELE78169]=0.2025089605734767
[FRO80039, SNA96466]=0.2015810276679842
[ELE17451, FRO89565]=0.20155038759689922
[DAI62779, ELE14480]=0.2005231037489102
[SNA53220, FRO19221]=0.20051746442432083
[ELE17451, DAI75645]=0.19992690058479531
[DAI62779, DAI63921]=0.1990975747320925
[DAI75645, GRO73461]=0.19766796224319821
[ELE49801, GRO46854]=0.1975867269984917
[DAI31081, GRO69543]=0.19727891156462585
[SNA80324, ELE17451]=0.19612352168199737
[DAI62779, SNA99873]=0.19491118578972635
[ELE17451, GRO83463]=0.1948529411764706
